mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,rmse,label
-412.7608,99.81259,14.610986,31.814077,14.439084,24.932655,4.0593915,-4.948342,-9.539561,-8.285024,-12.528656,-1.1965305,-5.1644564,0.11716257613109049,0.02174482,british
-471.58932,59.83656,-10.440262,3.5232322,-14.2200985,-15.894056,-15.028488,0.24183431,-10.504794,-4.8103733,-9.681087,-6.641089,-16.130213,0.1877107199825986,0.028781623,british
-359.6818,46.926624,-44.092907,-15.631867,-24.656065,-25.73722,-15.827817,-0.9066304,-5.250257,-7.6721287,-15.714323,-6.6325836,-14.136691,0.15074182497099767,0.054882206,british
-517.86346,31.782482,-11.154741,1.9903114,-3.446305,-13.943334,-12.139095,-1.8061267,-1.2381773,1.8090049,-8.353318,-5.696444,-9.875265,0.29483350855568446,0.020099405,british
-477.75803,46.546856,-19.729261,12.726026,-1.7225367,-21.392529,-16.584156,-0.44638124,-4.3035855,-6.880082,-10.981329,-5.202459,-12.969812,0.19662213602088166,0.029564586,british
-360.23788,98.91131,11.394769,32.963486,16.306986,19.249075,4.8448944,-5.8173103,-9.285936,-8.446302,-11.608008,-5.6822157,-9.958534,0.11356220997679814,0.06271119,british
-482.05692,57.01415,-4.906037,0.24058615,-12.312191,-15.958019,-13.906473,1.1079605,-2.845224,-6.8254013,-12.300811,-5.769474,-13.3244705,0.22522794011020883,0.025068674,british
-361.23578,81.80874,-11.549556,9.0025215,3.3524904,-18.02186,-26.16494,-6.7597175,-22.724873,-8.639733,-5.7616014,-5.419102,-21.959137,0.11098145664153132,0.04428628,indian
-353.65567,109.143005,0.8528328,6.2085505,-10.016086,-10.971287,-12.476558,-15.298011,-15.347836,-10.583494,-9.729369,-8.398463,-11.064947,0.09860109121229699,0.096431375,indian
-350.90073,101.00939,6.61714,33.873234,15.814786,17.859331,4.3462634,-5.1732254,-6.3541446,-12.050095,-10.873928,-4.6254663,-7.752595,0.11812327798723898,0.06416009,british
-443.66183,57.89094,16.309668,38.356163,13.901616,22.224585,5.879626,-1.6478407,-3.020151,-2.0591922,-13.195825,-4.0768056,-6.173358,0.14477142546403712,0.0457766,british
-226.42392,95.66538,-17.690178,16.519629,9.473469,-5.3148108,-25.976078,-9.67323,-15.516992,-7.543875,-12.427036,-6.4294696,-12.343872,0.12255972665313225,0.110770784,indian
